FID,Name,Address,City,State,ZipCode1,ZipCode2,Suite,geom
Food_Establishments_Health.17,LAUREL SKATING CENTER,9890 BREWERS CT,LAUREL,MD,20706,,,POINT (1359725.5921587604 526871.4883840958)
Food_Establishments_Health.18,MA'S KETTLE INC.,8949 BALTIMORE ST,SAVAGE,MD,20763,,PO BOX 52,POINT (1362252.160843024 535764.9633264567)
Food_Establishments_Health.19,MCDONALD'S,7878 POCOMOKE AVE,JESSUP,MD,20794,,,POINT (1373686.5450077616 546941.5104692046)
Food_Establishments_Health.20,MERRIWEATHER PT. PAV.-#3,10475 LITTLE PATUXENT PKWY,COLUMBIA,MD,21044,,,POINT (1351260.8700395718 561709.3380850903)
Food_Establishments_Health.21,MERRIWEATHER PT. PAV.-#5,10475 LITTLE PATUXENT PKWY,COLUMBIA,MD,21044,,,POINT (1351260.8700395718 561709.3380850903)
Food_Establishments_Health.22,MERRIWEATHER PT. PAV.-#1,10475 LITTLE PATUXENT PKWY,COLUMBIA,MD,21044,,,POINT (1351260.8700395718 561709.3380850903)
Food_Establishments_Health.23,BELLA MIA,4900 WATERLOO RD,ELLICOTT CITY,MD,21043,,STE B,POINT (1369333.7526944228 571667.8174803685)
Food_Establishments_Health.24,NIXON'S FARM,2800 NIXONS FARM LN,WEST FRIENDSHIP,MD,21794,,,POINT (1323830.932598056 592703.9235718198)
Food_Establishments_Health.25,BRUNSWICK ZONE NORMANDY,8419 BALTIMORE NATIONAL PK,ELLICOTT CITY,MD,21043,,,POINT (1367914.9174133723 589685.3866310698)
Food_Establishments_Health.26,ATHOLTON SWIM CLUB SNACK BAR,6731 SENECA DR,COLUMBIA,MD,21046,,,POINT (1352170.1772215487 552939.9526970127)
Food_Establishments_Health.27,PIZZA HUT,10120 BALTIMORE NATIONAL PK,ELLICOTT CITY,MD,21042,,,POINT (1351777.4220756802 587592.2533946685)
Food_Establishments_Health.28,PHOENIX EMPORIUM,8049 MAIN STREET,Ellicott City,MD,21043,,,POINT (1370244.2305325724 583111.859558529)
Food_Establishments_Health.29,ELKRIDGE YOUTH ORGANIZATION CONCESSION STAND @ ROCKBURN PARK,5400 LANDING RD,Elkridge,MD,21075,,,POINT (1380538.9809133965 566198.5118425234)
Food_Establishments_Health.30,SLAYTON HOUSE,10400 CROSS FOX LN,COLUMBIA,MD,21044,,,POINT (1348131.1207624357 565426.171432727)
Food_Establishments_Health.31,OTHER BARN,5851 ROBERT OLIVER PL,COLUMBIA,MD,21045,,,POINT (1355726.630673555 562306.080069014)
Food_Establishments_Health.32,TURF VALLEY COUNTRY CLUB BANQUETS,2700 TURF VALLEY RD,ELLICOTT CITY,MD,21042,,,POINT (1344805.5792404518 593490.604519729)
Food_Establishments_Health.33,TRATTORIA E PIZZERIA,8630 GUILFORD RD,COLUMBIA,MD,21046,,,POINT (1350561.4029765124 547425.5767965268)
Food_Establishments_Health.34,WENDY'S #52,6355 DOBBIN RD,COLUMBIA,MD,21044,,,POINT (1363458.8146928118 557510.1943943902)
Food_Establishments_Health.35,WENDY'S #70,9150 RT 108,Columbia,MD,21045,,,POINT (1360470.7148125465 571062.8809032375)
Food_Establishments_Health.36,WOODSTOCK INN,1415 WOODSTOCK RD,WOODSTOCK,MD,21163,,,POINT (1349047.1592174044 606011.3576125316)
Food_Establishments_Health.37,ATHOLTON ELEMENTARY SCHOOL,6700 SENECA DR,COLUMBIA,MD,21046,,,POINT (1351105.4654326744 553286.4669240679)
